Order Id,Date,Product Category,Product Name,Units Sold,Unit Price,Total Amount,Region,Payment Method
10001,1/1/2024,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card
10002,1/2/2024,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal
10003,1/3/2024,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card
10004,1/4/2024,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card
10005,1/5/2024,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal
10006,1/6/2024,Sports,Wilson Evolution Basketball,5,29.99,149.95,Asia,Credit Card
10007,1/7/2024,Electronics,MacBook Pro 16-inch,1,2499.99,2499.99,North America,Credit Card
10008,1/8/2024,Home Appliances,Blueair Classic 480i,2,599.99,1199.98,Europe,PayPal
10009,1/9/2024,Clothing,Nike Air Force 1,6,89.99,539.94,Asia,Debit Card
10010,1/10/2024,Books,Dune by Frank Herbert,2,25.99,51.98,North America,Credit Card
10011,1/11/2024,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,PayPal
10012,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,199.99,599.97,Asia,Credit Card
10013,1/13/2024,Electronics,Samsung Galaxy Tab S8,2,749.99,1499.98,North America,Credit Card
10014,1/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Europe,PayPal
10015,1/15/2024,Clothing,North Face Down Jacket,2,249.99,499.98,Asia,Debit Card
10016,1/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,35.99,107.97,North America,Credit Card
10017,1/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,399.99,Europe,PayPal
10018,1/18/2024,Sports,Manduka PRO Yoga Mat,4,119.99,479.96,Asia,Credit Card
10019,1/19/2024,Electronics,Garmin Forerunner 945,2,499.99,999.98,North America,Credit Card
10020,1/20/2024,Home Appliances,Ninja Professional Blender,1,99.99,99.99,Europe,PayPal
10021,1/21/2024,Clothing,Zara Summer Dress,3,59.99,179.97,Asia,Debit Card
10022,1/22/2024,Books,Gone Girl by Gillian Flynn,2,22.99,45.98,North America,Credit Card
10023,1/23/2024,Beauty Products,Olay Regenerist Face Cream,1,49.99,49.99,Europe,PayPal
10024,1/24/2024,Sports,Adidas FIFA World Cup Football,3,29.99,89.97,Asia,Credit Card
10025,1/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,299.99,299.99,North America,Credit Card
10026,1/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,179.99,Europe,PayPal
10027,1/27/2024,Clothing,Adidas Ultraboost Shoes,2,179.99,359.98,Asia,Debit Card
10028,1/28/2024,Books,Pride and Prejudice by Jane Austen,3,12.99,38.97,North America,Credit Card
10029,1/29/2024,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,29.99,Europe,PayPal
10030,1/30/2024,Sports,Nike Air Zoom Pegasus 37,2,129.99,259.98,Asia,Credit Card
10031,1/31/2024,Electronics,Sony WH-1000XM4 Headphones,2,349.99,699.98,North America,Credit Card
10032,2/1/2024,Home Appliances,Instant Pot Duo,3,89.99,269.97,Europe,PayPal
10033,2/2/2024,Clothing,Under Armour HeatGear T-Shirt,5,29.99,149.95,Asia,Debit Card
10034,2/3/2024,Books,1984 by George Orwell,4,19.99,79.96,North America,Credit Card
